index,Sensor Name,Sensor Type,Latitude,Longitude,Location
0,Calumet Beach,Water,41.714739,-87.52735599999998,"(41.714739000000002, -87.527355999999997)"
1,63rd Street Weather Station,Weather,41.780992,-87.572619,"(41.780991999999998, -87.572619000000003)"
2,63rd Street Beach,Water,41.784561,-87.571453,"(41.784560999999997, -87.571453000000005)"
3,Oak Street Weather Station,Weather,41.901997,-87.622817,"(41.901997000000001, -87.622816999999998)"
4,Foster Weather Station,Weather,41.976464,-87.647525,"(41.976464, -87.647525000000002)"
5,Montrose Beach,Water,41.969094,-87.638003,"(41.969093999999998, -87.638002999999998)"
6,Osterman Beach,Water,41.987675,-87.651008,"(41.987675000000003, -87.651008000000004)"
7,Ohio Street Beach,Water,41.894328,-87.613083,"(41.894328000000002, -87.613083000000003)"
8,Rainbow Beach,Water,41.760147,-87.550081,"(41.760147000000003, -87.550081000000006)"
